allocator,create,query,total
mem3_128kb,7394387,440479898,447882196
mem3_128kb,7055764,370802045,377865178
mem3_128kb,7030754,336070911,343109359
mem3_128kb,7836781,343524995,351368917
mem3_128kb,8146562,359906016,368059749
mem3_128kb,7911110,682232315,690150829
mem3_128kb,8177826,729561842,737747068
mem3_128kb,7851568,309966062,317825891
mem3_128kb,8274114,591888022,600169746
mem3_128kb,8076822,346798641,354882752
mem3_128kb,7843548,742122359,749973124
mem3_128kb,7847397,688854185,696709231
mem3_128kb,7968067,355340833,363344286
mem3_128kb,7842581,315340078,323191374
mem3_128kb,7854716,284124062,291987543
mem3_128kb,7831978,432981247,440821643
mem3_128kb,7835575,659429422,667273860
mem3_128kb,7891592,342921373,350821030
mem3_128kb,7860061,825089012,832956871
mem3_128kb,7866358,271142367,279016937
mem3_128kb,7842810,441605400,449456060
mem3_128kb,7836437,751029414,758874745
mem3_128kb,7864731,284526335,292398216
mem3_128kb,7902453,712796209,720706578
mem3_128kb,7853311,320886848,328748908
mem3_128kb,7888247,420980246,428876623
mem3_128kb,7867368,404171218,412046483
mem3_128kb,7846457,298478262,306332480
mem3_128kb,7834912,447526789,455369074
mem3_128kb,7889805,354741782,362639310
mem3_128kb,7847645,387285226,395140410
mem3_128kb,7845057,439019419,446872018
mem3_128kb,7832044,329088491,336927808
mem3_128kb,7841749,340798467,348648412
mem3_128kb,7852799,1909061655,1916921740
mem3_128kb,7841422,300834323,308683824
mem3_128kb,7839975,631451223,639298295
mem3_128kb,7897096,286006802,293912031
mem3_128kb,7881147,154409274,162297819
mem3_128kb,7861272,550437199,558306486
mem3_128kb,7844055,403244400,411095749
mem3_128kb,7831969,638278180,646117922
mem3_16mb,7120340,453233134,460390229
mem3_16mb,6979116,468089257,475075966
mem3_16mb,6975038,458607660,465590860
mem3_16mb,6972581,454690189,461670634
mem3_16mb,6974945,512812276,519794855
mem3_16mb,6968518,460104528,467081024
mem3_16mb,6969496,444197542,451175521
mem3_16mb,6985118,471959559,478952787
mem3_16mb,6966260,448322114,455296422
mem3_16mb,6987472,449853561,456848482
mem3_16mb,6982902,468161521,475152532
mem3_16mb,6966704,451899778,458873655
mem3_16mb,6996129,451362082,458366805
mem3_16mb,6963609,463499160,470470438
mem3_16mb,6972352,459368733,466348944
mem3_16mb,7019825,461527229,468554663
mem3_16mb,6978814,462979352,469965929
mem3_16mb,6993475,455038639,462039435
mem3_16mb,6977971,456644556,463630396
mem3_16mb,6967289,451490587,458465147
mem3_16mb,6975495,451978416,458961571
mem3_16mb,6976091,457181788,464165304
mem3_16mb,6964600,462983670,469955486
mem3_16mb,6963070,463455223,470426025
mem3_16mb,6975020,463720886,470703108
mem3_16mb,6977315,451521176,458505928
mem3_16mb,6990982,507697348,514695691
mem3_16mb,6970694,455590613,462568655
mem3_16mb,6981314,462005322,468994370
mem3_16mb,6981065,471406451,478394916
mem3_16mb,7826128,457918528,465784646
mem3_16mb,7650482,470627997,478286500
mem3_16mb,7650009,459669006,467327798
mem3_16mb,7681161,510358055,518046988
mem3_16mb,7764763,458190110,465963028
mem3_16mb,7654783,473321267,480983503
mem3_16mb,7672328,458983502,466663625
mem3_16mb,7702201,465307779,473017862
mem3_16mb,7641049,454819200,462468301
mem3_16mb,7644610,473420332,481072442
mem3_16mb,7637703,455486816,463132416
mem3_16mb,7683923,509588146,517279641
mem3_16mb,7648527,455148949,462805809
mem3_16mb,7655992,509756279,517419827
mem3_16mb,7637110,513532511,521177883
mem3_16mb,7667940,450472521,458148086
mem3_16mb,7662824,466234083,473904481
mem3_16mb,7664443,446484230,454156308
mem3_16mb,7659715,473641616,481308753
mem3_16mb,7673076,462875667,470556386
mem3_16mb,7653632,459076242,466737422
mem3_16mb,7684028,456439369,464130843
mem3_16mb,7664186,456913482,464585273
mem3_16mb,7664625,467680868,475353166
mem3_16mb,7685001,458897250,466589956
mem3_16mb,7666119,508097544,515771229
mem3_16mb,7699354,456892156,464599148
mem3_16mb,7685048,463173669,470866242
mem3_16mb,7677724,461111590,468796940
mem3_16mb,7664800,514516103,522188476
mem3_16mb,8056903,464129483,472225008
mem3_16mb,7950037,455133935,463091760
mem3_16mb,7945521,517010343,524965208
mem3_16mb,7943897,462559711,470511523
mem3_16mb,7974239,460232981,468216067
mem3_16mb,7961285,462842691,470811431
mem3_16mb,7980792,466904137,474894048
mem3_16mb,7972592,514803344,522783586
mem3_16mb,7937278,467240806,475186414
